contract,field,csv,api_define,csv_order,define_order,status
ORDER_LI,ORDER_ALIAS,true,true,34,34,MATCH
ORDER_LI,LIST_PRICE,true,true,35,35,MATCH
ORDER_LI,SMAN1_NO,true,true,36,36,MATCH
ORDER_LI,SMAN2_NO,true,true,37,37,MATCH
ORDER_LI,SMAN3_NO,true,true,38,38,MATCH
ORDER_LI,SMAN1_COMM,true,true,39,39,MATCH
ORDER_LI,SMAN2_COMM,true,true,40,40,MATCH
ORDER_LI,SMAN3_COMM,true,true,41,41,MATCH
ORDER_LI,STORE_NO,false,true,,4,DEFINE_ONLY
ORDER_LI,USER_REF1,false,true,,42,DEFINE_ONLY
ORDER_LI,USER_REF2,false,true,,43,DEFINE_ONLY
ORDER_LI,USER_REF3,false,true,,44,DEFINE_ONLY
ORDER_LI,USER_REF4,false,true,,45,DEFINE_ONLY
ORDER_LI,USER_REF5,false,true,,46,DEFINE_ONLY
ORDER_LI,USER_DT_REF1,false,true,,47,DEFINE_ONLY
ORDER_LI,USER_DT_REF2,false,true,,48,DEFINE_ONLY
