SEQ_ORDER_NO,LINE_NO,CUST_NO,_NO,ORDER_NO,STYLE,COLOR_NO,SALES_PRICE,WHOUSE,QTY_SZ1,QTY_SZ2,QTY_SZ3,QTY_SZ4,QTY_SZ5,QTY_SZ6,QTY_SZ7,QTY_SZ8,QTY_SZ9,QTY_SZ10,QTY_SZ11,QTY_SZ12,QTY_SZ13,QTY_SZ14,QTY_SZ15,QTY_SZ16,QTY_SZ17,QTY_SZ18,SIZE_NO,CUST_STYLE1,CUST_STYLE2,SUB_STYLE,SUB_COLOR_NO,REF,ORDER_ALIAS,LIST_PRICE,SMAN1_NO,SMAN2_NO,SMAN3_NO,SMAN1_COMM,SMAN2_COMM,SMAN3_COMM
,1,,Spencer Gifts LLC,305696,AXG2404-42,003,5,,1008,,,,,,,,,,,,,,,,,,,04639761,,,,AE BLK ED HARDY PATCH CUFF BN,,24.99,,,,,,
,1,,Morgantown DC,100-0065005525 LP,EHH343-42,BMT,10,,360,,,,,,,,,,,,,,,,,,,6518-1424-33-0-0,6914895189,,,SKULL KEITH SLING,,,,,,,,
,2,,Morgantown DC,100-0065005525 LP,EHH345-42,OML,10,,180,,,,,,,,,,,,,,,,,,,6518-1424-34-0-0,6914895197,,,MOTORCYCLE SKULL SLING,,,,,,,,
,3,,Morgantown DC,100-0065005525 LP,EHH342-42,BMT,10,,120,,,,,,,,,,,,,,,,,,,6518-1424-35-0-0,6914895205,,,EAGLE MICK SLING,,,,,,,,
,4,,Morgantown DC,100-0065005525 LP,EHH358-26,003,12,,120,,,,,,,,,,,,,,,,,,,6512-1424-80-0-0,6914895213,,,HRSE HOLLAND TWILL TTE,,,,,,,,
,1,BEALLSOUTL,995,1857601,TSG1R01-G02,003,13,PE,86,,,,,,,,,,,,,,,,,,,99134190,199347426533,,,BLACK SUNGLASS SMART EYEWEAR,,65,,,,,,
,2,BEALLSOUTL,995,1857601,TSG1R01-G65,009,13,PE,86,,,,,,,,,,,,,,,,,,,99134188,199347426526,,,TORTOISE SUNGLASS SMART EYEWEAR,,65,,,,,,
,3,BEALLSOUTL,995,1857601,TSG1R01-Z16,003,13,PE,86,,,,,,,,,,,,,,,,,,,99134176,199347426540,,,BLACK CLEAR BLUELIGHT SMART EYEWEAR,,65,,,,,,
