Style,Clr,Style Descr,Clr Desc,Clr Abbr,Nrf Color,Sku,Sku Descr,Scale,Scale Abbr,Scale Pack Qty,Sku Ref1,Sku Ref2,Sku Ref3,Sku Ref4,Sku Ref5,Sku Season,Sku Active,Sold Out,Primary Color,Contrast Color,Accent Color,Other Color,Div,Grp,Body,Status,Season,Delivery,Master Style,Country,Duty Category,Duty Descr,Duty Type,Class,Vendor,Manf,Design Ref,Cloth Ref,Customer,Controller,Style Alias,Comm,Royalty Code,Royalty Code 2,Royalty Code 3,Invoice Descr,French Descr,Weight,Volume,Price,Pr High,Price C,Price D,Price E,Price F,Pr Low,Std Cost,Gp Value,Gp Pct,Markup Pct,Retail,Tax Category,Tax Category Descr,Type,Wash No,Ppk,Expires,Royalty Cost,Pack Qty,Wh,Freight Class,Nmfc Descr,Nmfc No,Nmfc Class,Product Type,Product Type Descr,Product Gender,Product Gender Descr,Style User1,Style User2,Style User3,Style User4,Style User5,Style Ref6,Style Ref7,Style Ref8,Style Ref9,Style Ref10,Style Ref11,Style Ref12,Style Ref13,Style Ref14,Style Ref15,Style Ref16,Style Ref17,Style Ref18,Style Ref19,Style Ref20,Sales Descr,Style Descr2,Project Id,Sales Comm Rate,Sales Comm For,Sales Price Comm1,Comm Rate1,Sales Price Comm2,Comm Rate2,Sales Price Comm3,Comm Rate3,Sales Price Comm4,Comm Rate4,Sales Price Comm5,Comm Rate5,Sales Price Comm6,Comm Rate6,Sales Price Comm7,Comm Rate7,Sales Price Comm8,Comm Rate8,Sales Price Comm9,Comm Rate9,Sales Price Comm10,Comm Rate10,Care Code
L10082820,004,AE  LUGGAGE,SILVER,SIL,044,L10082820   004,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10082820,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20,,,,,,,,,,,,,,,,,,,,,,,,
L10082824,004,AE  LUGGAGE,SILVER,SIL,044,L10082824   004,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10082824,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10082828,004,AE  LUGGAGE,SILVER,SIL,044,L10082828   004,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10082828,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10082920,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10082920   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10082920,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10082924,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10082924   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10082924,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10082928,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10082928   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10082928,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10090220,003,AE  LUGGAGE,BLACK,BLK,001,L10090220   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090220,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10090224,003,AE  LUGGAGE,BLACK,BLK,001,L10090224   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090224,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10090228,003,AE  LUGGAGE,BLACK,BLK,001,L10090228   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090228,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10090520,007,AE  LUGGAGE,NAVY,NVY,410,L10090520   007,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090520,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10090524,007,AE  LUGGAGE,NAVY,NVY,410,L10090524   007,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090524,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10090528,007,AE  LUGGAGE,NAVY,NVY,410,L10090528   007,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090528,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10090820,080,AE  LUGGAGE,PURPLE,PURPL,500,L10090820   080,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090820,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10090824,080,AE  LUGGAGE,PURPLE,PURPL,500,L10090824   080,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090824,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10090828,080,AE  LUGGAGE,PURPLE,PURPL,500,L10090828   080,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10090828,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10092920,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10092920   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10092920,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10092924,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10092924   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10092924,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10092928,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10092928   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10092928,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10096620,WIN,AE  LUGGAGE,WINE,WINE,648,L10096620   WIN,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10096620,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10096624,WIN,AE  LUGGAGE,WINE,WINE,648,L10096624   WIN,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10096624,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10096628,WIN,AE  LUGGAGE,WINE,WINE,648,L10096628   WIN,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10096628,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10100220,003,AE  LUGGAGE,BLACK,BLK,001,L10100220   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10100220,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10100224,003,AE  LUGGAGE,BLACK,BLK,001,L10100224   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10100224,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10100228,003,AE  LUGGAGE,BLACK,BLK,001,L10100228   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10100228,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10100820,080,AE  LUGGAGE,PURPLE,PURPL,500,L10100820   080,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10100820,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10100824,080,AE  LUGGAGE,PURPLE,PURPL,500,L10100824   080,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10100824,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10100828,080,AE  LUGGAGE,PURPLE,PURPL,500,L10100828   080,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10100828,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10102820,004,AE  LUGGAGE,SILVER,SIL,044,L10102820   004,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10102820,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10102824,004,AE  LUGGAGE,SILVER,SIL,044,L10102824   004,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10102824,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10102828,004,AE  LUGGAGE,SILVER,SIL,044,L10102828   004,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10102828,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10102920,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10102920   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10102920,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10102924,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10102924   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10102924,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10102928,524,AE  LUGGAGE,ROSE GOLD,ROSGO,228,L10102928   524,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10102928,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10150220,003,AE  LUGGAGE,BLACK,BLK,001,L10150220   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10150220,,,,,TRVL,RUIAN,,,,GABRIELBRO,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,18.95,8.38,30.7,44.2,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10150228,003,AE  LUGGAGE,BLACK,BLK,001,L10150228   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10150228,,,,,TRVL,RUIAN,,,,GABRIELBRO,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,18.95,8.38,30.7,44.2,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
