customer,name,name_norm,terms,terms_description,ship_via,def_wh,div,active,addr1,city,state,postal
GENX123,GENX#123,GENX123,30,NET 30,,,,N,"6175 OLD NATIONAL HWY, SUITE#250",ATLANTA,GA,30349
GENX13,GENX#13,GENX13,30,NET 30,,,,N,268 W 500 SOUTH,BOUNTIFUL,UT,84010
GENX14,GENX#14,GENX14,30,NET 30,,,,N,799 NORTH REDWOOD ROAD SUITE B,SLC,UT,84116
GENX15,GENX#15,GENX15,30,NET 30,,,,N,1334 N. STATE STREET,PROVO,UT,84604
GENX16,GENX#16,GENX16,30,NET 30,,,,N,4067W. 5400 SOUTH,KEARNS,UT,84118
GENX20,GENX#20,GENX20,30,NET 30,,,,N,7999 SE POWELL BLVD.,PORTLAND,OR,97206
GENX21,GENX#21,GENX21,30,NET 30,,,,N,1895 LANCASTER DR. NE.,SALEM,OR,97305
GENX23,GENX#23,GENX23,30,NET 30,,,,N,346S. 1ST AVE.,HILLSBORO,OR,97123
GENX24,GENX#24,GENX24,30,NET 30,,,,N,2090 OLYMPIC STREET UNIT #B,SPRINGFIELD,OR,97477
GENX25,GENX#25,GENX25,30,NET 30,,,,N,1575A MOUNT HOOD AVE.,WOODBURN,OR,97071
GENX27,GENX#27,GENX27,30,NET 30,,,,N,2430 NE HIGHWAY 99W,MCMINNVILLE,OR,97128
GENX30,GENX#30,GENX30,30,NET 30,,,,N,9139 HILLCREST RD.,KANSAS CITY,MO,64138
GENX31,GENX#31,GENX31,30,NET 30,,,,N,3102 PROSPECT AVE.,KANSAS CITY,MO,64128
GENX36,GENX#36,GENX36,30,NET 30,,,,N,8035 WEST FLORISSANT,ST.JENNING,MO,63136
GENX4,GENX#4,GENX4,30,NET 30,,,,N,4005 RIVERDALE RD.,OGDEN,UT,84041
GENX501,GENX#501,GENX501,30,NET 30,,,,N,1054 S. WHITE  ROAD,SAN JOSE,CA,95127
GENX51,GENX#51,GENX51,30,NET 30,,,,N,1845 S ACADEMY BLVD,COLORADO SPRING,CO,80916
GENX52,GENX#52,GENX52,30,NET 30,,,,N,567 NORTH ACADEMY BLVD.,COLORADO SPRING,CO,80909
GENX54,GENX#54,GENX54,30,NET 30,,,,N,750 CITADEL DR. E #3104,COLORADO SPRING,CO,80909
GENX55,GENX#55,GENX55,30,NET 30,,,,N,1106 BONFORTE #1110A,PUEBLO,CO,81001
GENX6,GENX#6,GENX6,30,NET 30,,,,N,69 NORTH HARRISVILLE RD,OGDEN,UT,84404
GENX61,GENX#61,GENX61,30,NET 30,,,,N,5801 WEST 44TH AVE. #C 152,DENVER,CO,80212
GENX62,GENX#62,GENX62,30,NET 30,,,,N,1340 S.FEDERAL BLVD UNIT #A,DENVER,CO,80212
GENX63,GENX#63,GENX63,30,NET 30,,,,N,1494 CHESTER ST.,AURORA,CO,80010
GENX71,GENX#71,GENX71,30,NET 30,,,,N,1580 CALDWELL BLVD.,NAMPA,ID,83651
GENX8,GENX#8,GENX8,30,NET 30,,,,N,4645 S. 4000 WEST.,W.V.C.,UT,84120
GENX81,GENX#81,GENX81,30,NET 30,,,,N,1408- A N. 20TH STREET,PASCO,WA,99301
GENX82,GENX#82,GENX82,30,NET 30,,,,N,2010 YAKIMA VALLEY HWY #D-1,SUNNYSIDE,WA,98944
GENX83,GENX#83,GENX83,30,NET 30,,,,N,323 VALLEYMALL PARKWAY EAST,WENATCHEE,WA,98802
GENX84,GENX#84,GENX84,30,NET 30,,,,N,2549 MAIN STREET,UNION GAP,WA,98903
GENX85,GENX#85,GENX85,30,NET 30,,,,N,31858 PACIFIC HWY SOUTH,FEDRAL WAY,WA,98003
GENX86,GENX#86,GENX86,30,NET 30,,,,N,10330 59TH AVE. SW SUITE#A,LAKEWOOD,WA,98499
GENX87,GENX#87,GENX87,30,NET 30,,,,N,18520 33RD AVE.W,LYNNWOOD,WA,98499
GENX88,GENX#88,GENX88,30,NET 30,,,,N,17605 PACIFIC AVE. S SUITE A-1,SPANAWAY,WA,98387
GENX9,GENX#9,GENX9,30,NET 30,,,,N,1589W 9000 SOUTH WEST,JORDAN,UT,84088
GENX91,GENX#91,GENX91,30,NET 30,,,,N,320 N. 76TH STREET,OMAHA,NE,84088
GENX92,GENX#92,GENX92,30,NET 30,,,,N,31220 S 24TH STREET,OMAHA,NE,68108
GERMANREYE,GERMAN REYES UNAS,GERMANREYESUNAS,60,NET 60,,,,N,CALLE 29 N. 25-78,TULUA,XX,XXXXX
GIANT,GIANT TIGER,GIANTTIGER,C3,CIT NET 30,,,,N,DAVE NIXON,OTTAWA,ON,K1B4X3
GIANTTGNEW,GIANT TIGER NEW,GIANTTIGERNEW,C3,CIT NET 30,,,,Y,G.T WHOLSALE LIMITED,JOHNSTOWN,ON,KOE 1T1
GIANTTIGER,G.T WHOLESALE LTD,GTWHOLESALELTD,C3,CIT NET 30,,,,N,2480 WALKLEY ROAD,OTTAWA,ON,K1G 6A9
